player_id,year,"last_name, first_name",kmeans_quality_cluster,quality_archetype,impact_cluster,impact_archetype
445276,2024,"Jansen, Kenley",9,Cutter Aces (Elite FC),2,Balanced Positive Arsenal (Mild Impact Gains)
445276,2025,"Jansen, Kenley",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
445926,2019,"Chavez, Jesse",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
445926,2022,"Chavez, Jesse",9,Cutter Aces (Elite FC),2,Balanced Positive Arsenal (Mild Impact Gains)
445926,2024,"Chavez, Jesse",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
446372,2022,"Kluber, Corey",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
448179,2019,"Hill, Rich",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
448179,2020,"Hill, Rich",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
448179,2021,"Hill, Rich",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
448179,2022,"Hill, Rich",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
448179,2023,"Hill, Rich",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
448281,2019,"Doolittle, Sean",1,League-Average Pitch Quality,5,Four-Seam Aces (Elite FF Impact)
448281,2021,"Doolittle, Sean",1,League-Average Pitch Quality,5,Four-Seam Aces (Elite FF Impact)
448855,2019,"Guerra, Junior",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
448855,2021,"Guerra, Junior",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
450203,2019,"Morton, Charlie",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
450203,2020,"Morton, Charlie",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
450203,2021,"Morton, Charlie",2,Four-Seam Aces (Elite FF Quality),2,Balanced Positive Arsenal (Mild Impact Gains)
450203,2022,"Morton, Charlie",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
450203,2023,"Morton, Charlie",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
450203,2024,"Morton, Charlie",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
450203,2025,"Morton, Charlie",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
450306,2019,"Vargas, Jason",5,Sinkers Get Hit (Bad SI),2,Balanced Positive Arsenal (Mild Impact Gains)
452657,2019,"Lester, Jon",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
452657,2020,"Lester, Jon",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
452657,2021,"Lester, Jon",4,Poor Changeup Group (Bad CH),0,FF Liability Pitchers (Bad Fastball Impact)
453172,2019,"Hughes, Jared",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453172,2020,"Hughes, Jared",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453178,2019,"Kennedy, Ian",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
453178,2021,"Kennedy, Ian",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
453178,2022,"Kennedy, Ian",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
453192,2019,"Miller, Andrew",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453265,2019,"Watson, Tony",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453268,2020,"Bard, Daniel",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453268,2021,"Bard, Daniel",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453268,2022,"Bard, Daniel",7,Slider Aces (Elite SL),4,Slider Aces (Elite Slider Impact)
453268,2023,"Bard, Daniel",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
453281,2019,"LeBlanc, Wade",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453284,2019,"Parker, Blake",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
453286,2019,"Scherzer, Max",7,Slider Aces (Elite SL),5,Four-Seam Aces (Elite FF Impact)
453286,2020,"Scherzer, Max",7,Slider Aces (Elite SL),0,FF Liability Pitchers (Bad Fastball Impact)
453286,2021,"Scherzer, Max",8,Changeup Specialists (Elite CH),5,Four-Seam Aces (Elite FF Impact)
453286,2022,"Scherzer, Max",7,Slider Aces (Elite SL),4,Slider Aces (Elite Slider Impact)
453286,2023,"Scherzer, Max",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453286,2025,"Scherzer, Max",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453343,2019,"Melancon, Mark",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453343,2020,"Melancon, Mark",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453343,2021,"Melancon, Mark",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453343,2022,"Melancon, Mark",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453385,2019,"Richard, Clayton",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453562,2019,"Arrieta, Jake",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
453562,2020,"Arrieta, Jake",5,Sinkers Get Hit (Bad SI),1,Sinker Liability Pitchers (Sinker Gets Crushed)
453562,2021,"Arrieta, Jake",6,Weak Breaking Ball Group (Bad SL),1,Sinker Liability Pitchers (Sinker Gets Crushed)
456034,2019,"Price, David",4,Poor Changeup Group (Bad CH),2,Balanced Positive Arsenal (Mild Impact Gains)
456034,2021,"Price, David",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
456501,2020,"Cueto, Johnny",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
456501,2021,"Cueto, Johnny",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
456501,2022,"Cueto, Johnny",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
456701,2019,"Bailey, Homer",1,League-Average Pitch Quality,0,FF Liability Pitchers (Bad Fastball Impact)
456713,2022,"Bush, Matt",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
457915,2019,"Guerra, Javy",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
457915,2020,"Guerra, Javy",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
457918,2019,"Happ, J.A.",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
457918,2020,"Happ, J.A.",0,Fastball Generalists (Good FF + Good SI),5,Four-Seam Aces (Elite FF Impact)
457918,2021,"Happ, J.A.",1,League-Average Pitch Quality,0,FF Liability Pitchers (Bad Fastball Impact)
458006,2019,"Albers, Matt",0,Fastball Generalists (Good FF + Good SI),3,Sinker Aces (Elite Sinker Impact)
458676,2020,"Lindblom, Josh",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
458677,2020,"Wilson, Justin",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
458677,2024,"Wilson, Justin",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
458681,2019,"Lynn, Lance",9,Cutter Aces (Elite FC),5,Four-Seam Aces (Elite FF Impact)
458681,2020,"Lynn, Lance",0,Fastball Generalists (Good FF + Good SI),5,Four-Seam Aces (Elite FF Impact)
458681,2021,"Lynn, Lance",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
458681,2022,"Lynn, Lance",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
458681,2023,"Lynn, Lance",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
458681,2024,"Lynn, Lance",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
458708,2019,"Tomlin, Josh",9,Cutter Aces (Elite FC),2,Balanced Positive Arsenal (Mild Impact Gains)
458708,2020,"Tomlin, Josh",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
459429,2019,"McGee, Jake",1,League-Average Pitch Quality,0,FF Liability Pitchers (Bad Fastball Impact)
459429,2020,"McGee, Jake",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
459429,2021,"McGee, Jake",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
459429,2022,"McGee, Jake",1,League-Average Pitch Quality,0,FF Liability Pitchers (Bad Fastball Impact)
461829,2019,"González, Gio",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
461829,2020,"González, Gio",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
461872,2019,"Swarzak, Anthony",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
465657,2019,"Soria, Joakim",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
465657,2020,"Soria, Joakim",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
467100,2019,"Nova, Iván",4,Poor Changeup Group (Bad CH),2,Balanced Positive Arsenal (Mild Impact Gains)
468504,2019,"Chacín, Jhoulys",5,Sinkers Get Hit (Bad SI),1,Sinker Liability Pitchers (Sinker Gets Crushed)
471911,2019,"Carrasco, Carlos",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
471911,2020,"Carrasco, Carlos",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
471911,2022,"Carrasco, Carlos",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
471911,2023,"Carrasco, Carlos",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
471911,2024,"Carrasco, Carlos",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
472610,2022,"García, Luis",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
472610,2023,"García, Luis",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
472610,2024,"García, Luis",0,Fastball Generalists (Good FF + Good SI),3,Sinker Aces (Elite Sinker Impact)
474463,2019,"Anderson, Brett",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
474463,2020,"Anderson, Brett",1,League-Average Pitch Quality,1,Sinker Liability Pitchers (Sinker Gets Crushed)
474463,2021,"Anderson, Brett",5,Sinkers Get Hit (Bad SI),1,Sinker Liability Pitchers (Sinker Gets Crushed)
475054,2019,"Roe, Chaz",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
476594,2020,"Stock, Robert",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
476595,2021,"Luetge, Lucas",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
476595,2022,"Luetge, Lucas",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
477132,2019,"Kershaw, Clayton",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
477132,2020,"Kershaw, Clayton",7,Slider Aces (Elite SL),4,Slider Aces (Elite Slider Impact)
477132,2021,"Kershaw, Clayton",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
477132,2022,"Kershaw, Clayton",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
477132,2023,"Kershaw, Clayton",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
477132,2025,"Kershaw, Clayton",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
488748,2019,"Buchter, Ryan",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
488768,2019,"Cashner, Andrew",1,League-Average Pitch Quality,0,FF Liability Pitchers (Bad Fastball Impact)
488984,2020,"Hunter, Tommy",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
489119,2019,"Miley, Wade",2,Four-Seam Aces (Elite FF Quality),2,Balanced Positive Arsenal (Mild Impact Gains)
489119,2021,"Miley, Wade",2,Four-Seam Aces (Elite FF Quality),2,Balanced Positive Arsenal (Mild Impact Gains)
489119,2023,"Miley, Wade",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
489265,2019,"Romo, Sergio",7,Slider Aces (Elite SL),4,Slider Aces (Elite Slider Impact)
489265,2020,"Romo, Sergio",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
489265,2021,"Romo, Sergio",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
489334,2019,"Stammen, Craig",0,Fastball Generalists (Good FF + Good SI),3,Sinker Aces (Elite Sinker Impact)
489334,2020,"Stammen, Craig",0,Fastball Generalists (Good FF + Good SI),3,Sinker Aces (Elite Sinker Impact)
489334,2021,"Stammen, Craig",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
489446,2019,"Yates, Kirby",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
489446,2023,"Yates, Kirby",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
489446,2024,"Yates, Kirby",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
489446,2025,"Yates, Kirby",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
491624,2020,"Valdez, César",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
491624,2021,"Valdez, César",4,Poor Changeup Group (Bad CH),2,Balanced Positive Arsenal (Mild Impact Gains)
493603,2019,"Ottavino, Adam",0,Fastball Generalists (Good FF + Good SI),3,Sinker Aces (Elite Sinker Impact)
493603,2020,"Ottavino, Adam",0,Fastball Generalists (Good FF + Good SI),3,Sinker Aces (Elite Sinker Impact)
493603,2021,"Ottavino, Adam",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
493603,2022,"Ottavino, Adam",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
500610,2021,"Guerra, Deolis",2,Four-Seam Aces (Elite FF Quality),2,Balanced Positive Arsenal (Mild Impact Gains)
500779,2019,"Quintana, Jose",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
500779,2021,"Quintana, Jose",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
500779,2022,"Quintana, Jose",4,Poor Changeup Group (Bad CH),5,Four-Seam Aces (Elite FF Impact)
500779,2024,"Quintana, Jose",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
500779,2025,"Quintana, Jose",5,Sinkers Get Hit (Bad SI),1,Sinker Liability Pitchers (Sinker Gets Crushed)
501381,2019,"Pineda, Michael",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
501381,2020,"Pineda, Michael",7,Slider Aces (Elite SL),4,Slider Aces (Elite Slider Impact)
501381,2021,"Pineda, Michael",1,League-Average Pitch Quality,0,FF Liability Pitchers (Bad Fastball Impact)
501381,2022,"Pineda, Michael",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
501625,2021,"Alvarez, Jose",0,Fastball Generalists (Good FF + Good SI),3,Sinker Aces (Elite Sinker Impact)
501789,2019,"Harris, Will",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
501789,2020,"Harris, Will",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
501985,2019,"Minor, Mike",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
501985,2020,"Minor, Mike",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
501985,2021,"Minor, Mike",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
501985,2022,"Minor, Mike",4,Poor Changeup Group (Bad CH),2,Balanced Positive Arsenal (Mild Impact Gains)
502042,2019,"Archer, Chris",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
502042,2022,"Archer, Chris",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
502043,2019,"Gibson, Kyle",3,Weak Fastball Group (Bad FF),2,Balanced Positive Arsenal (Mild Impact Gains)
502043,2020,"Gibson, Kyle",5,Sinkers Get Hit (Bad SI),1,Sinker Liability Pitchers (Sinker Gets Crushed)
502043,2021,"Gibson, Kyle",7,Slider Aces (Elite SL),2,Balanced Positive Arsenal (Mild Impact Gains)
502043,2022,"Gibson, Kyle",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
502043,2023,"Gibson, Kyle",4,Poor Changeup Group (Bad CH),2,Balanced Positive Arsenal (Mild Impact Gains)
502043,2024,"Gibson, Kyle",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
502085,2022,"Robertson, David",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
502085,2023,"Robertson, David",9,Cutter Aces (Elite FC),2,Balanced Positive Arsenal (Mild Impact Gains)
502085,2024,"Robertson, David",9,Cutter Aces (Elite FC),2,Balanced Positive Arsenal (Mild Impact Gains)
502154,2019,"Britton, Zack",0,Fastball Generalists (Good FF + Good SI),3,Sinker Aces (Elite Sinker Impact)
502154,2020,"Britton, Zack",0,Fastball Generalists (Good FF + Good SI),3,Sinker Aces (Elite Sinker Impact)
502171,2020,"Cobb, Alex",5,Sinkers Get Hit (Bad SI),1,Sinker Liability Pitchers (Sinker Gets Crushed)
502171,2021,"Cobb, Alex",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
502171,2022,"Cobb, Alex",0,Fastball Generalists (Good FF + Good SI),3,Sinker Aces (Elite Sinker Impact)
502171,2023,"Cobb, Alex",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
502179,2021,"Espino, Paolo",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
502179,2022,"Espino, Paolo",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
502188,2019,"Samardzija, Jeff",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
502190,2019,"Leake, Mike",5,Sinkers Get Hit (Bad SI),1,Sinker Liability Pitchers (Sinker Gets Crushed)
502202,2020,"Boxberger, Brad",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
502202,2021,"Boxberger, Brad",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
502202,2022,"Boxberger, Brad",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
502239,2019,"Cahill, Trevor",5,Sinkers Get Hit (Bad SI),1,Sinker Liability Pitchers (Sinker Gets Crushed)
502327,2019,"Santiago, Héctor",1,League-Average Pitch Quality,0,FF Liability Pitchers (Bad Fastball Impact)
502624,2019,"Anderson, Chase",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
502624,2020,"Anderson, Chase",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
502706,2019,"Holland, Derek",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
502706,2020,"Holland, Derek",5,Sinkers Get Hit (Bad SI),1,Sinker Liability Pitchers (Sinker Gets Crushed)
502748,2019,"Peacock, Brad",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
503449,2021,"Peralta, Wily",5,Sinkers Get Hit (Bad SI),1,Sinker Liability Pitchers (Sinker Gets Crushed)
503569,2020,"Dolis, Rafael",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
506433,2019,"Darvish, Yu",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
506433,2020,"Darvish, Yu",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
506433,2021,"Darvish, Yu",6,Weak Breaking Ball Group (Bad SL),5,Four-Seam Aces (Elite FF Impact)
506433,2022,"Darvish, Yu",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
506433,2023,"Darvish, Yu",0,Fastball Generalists (Good FF + Good SI),2,Balanced Positive Arsenal (Mild Impact Gains)
517008,2019,"Colomé, Alex",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
517008,2020,"Colomé, Alex",9,Cutter Aces (Elite FC),2,Balanced Positive Arsenal (Mild Impact Gains)
517008,2021,"Colomé, Alex",9,Cutter Aces (Elite FC),2,Balanced Positive Arsenal (Mild Impact Gains)
517008,2022,"Colomé, Alex",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
518397,2020,"Alexander, Scott",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
518397,2023,"Alexander, Scott",0,Fastball Generalists (Good FF + Good SI),3,Sinker Aces (Elite Sinker Impact)
518489,2019,"Brasier, Ryan",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
518489,2020,"Brasier, Ryan",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
518489,2022,"Brasier, Ryan",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
518516,2019,"Bumgarner, Madison",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
518516,2020,"Bumgarner, Madison",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
518516,2021,"Bumgarner, Madison",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
518516,2022,"Bumgarner, Madison",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
518553,2019,"Cishek, Steve",5,Sinkers Get Hit (Bad SI),1,Sinker Liability Pitchers (Sinker Gets Crushed)
518553,2020,"Cishek, Steve",5,Sinkers Get Hit (Bad SI),1,Sinker Liability Pitchers (Sinker Gets Crushed)
518553,2021,"Cishek, Steve",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
518553,2022,"Cishek, Steve",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
518585,2024,"Cruz, Fernando",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
518585,2025,"Cruz, Fernando",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
518617,2019,"Diekman, Jake",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
518617,2020,"Diekman, Jake",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
